"billing_point_name","billing_point_code","city_code","period","payment_total_kwh","payment_amount","payment_days","external_yoy_ratio","external_mom_ratio","external_rated_ratio","system_audit_status","system_over_limit_type","system_current_daily","system_yoy_result","system_yoy_ratio","system_yoy_threshold","system_yoy_reference_period","system_yoy_c","system_yoy_a","system_yoy_b","yoy_reference_benchmark_first_day","yoy_candidate_ratio_reference_first_day","system_yoy_k","system_mom_result","system_mom_ratio","system_mom_threshold","system_mom_reference_period","system_mom_c","system_mom_a","system_mom_b","mom_reference_benchmark_first_day","mom_candidate_ratio_reference_first_day","system_mom_k","system_rated_result","system_rated_ratio","system_rated_threshold","external_yoy_result","external_mom_result","external_rated_result","yoy_compare","yoy_ratio_diff","mom_compare","mom_ratio_diff","rated_compare","rated_ratio_diff","difference_reason_candidate"
"巨腾药业","ZDBZD-JS-2020-014387","321200","2025-04","2610.250000","1865.810000","30","NULL","NULL","NULL","NORMAL","NONE","87.010000","NORMAL","0.000000","99.280000","2024-04","82.729670","130.752000","326.880000","130.752000","NULL","1.000000","NORMAL","0.000000","105.640000","2025-03","88.032903","130.752000","130.752000","130.752000","NULL","1.000000","NORMAL","0.000000","3922.560000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"巨腾药业","ZDBZD-JS-2020-014387","321200","2025-05","2761.300000","1987.580000","31","NULL","NULL","NULL","NORMAL","NONE","89.070000","NORMAL","0.000000","110.040000","2024-05","91.703384","130.752000","137.515355","130.752000","NULL","1.000000","NORMAL","0.000000","104.410000","2025-04","87.008333","130.752000","130.752000","130.752000","NULL","1.000000","NORMAL","0.000000","4053.312000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"巨腾药业","ZDBZD-JS-2020-014387","321200","2025-06","2806.720000","2003.440000","30","NULL","NULL","NULL","NORMAL","NONE","93.560000","NORMAL","0.000000","110.490000","2024-06","92.077294","130.752000","156.960000","156.960000","NULL","1.000000","NORMAL","0.000000","106.890000","2025-05","89.074194","130.752000","130.752000","130.752000","NULL","1.000000","NORMAL","0.000000","3922.560000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"巨腾药业","ZDBZD-JS-2020-014387","321200","2025-07","2932.190000","2209.410000","31","NULL","NULL","NULL","NORMAL","NONE","94.590000","NORMAL","0.000000","112.680000","2024-07","93.899152","130.752000","156.960000","156.960000","NULL","1.000000","NORMAL","0.000000","112.270000","2025-06","93.557333","130.752000","130.752000","130.752000","NULL","1.000000","NORMAL","0.000000","4053.312000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"巨腾药业","ZDBZD-JS-2020-014387","321200","2025-08","2966.140000","2245.960000","31","NULL","NULL","NULL","NORMAL","NONE","95.680000","NORMAL","0.000000","112.690000","2024-08","93.909290","128.382968","156.960000","156.960000","NULL","1.000000","NORMAL","0.000000","113.500000","2025-07","94.586774","128.382968","130.752000","130.752000","NULL","1.000000","NORMAL","0.000000","3979.872000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"巨腾药业","ZDBZD-JS-2020-014387","321200","2025-09","3255.000000","2377.450000","30","0.260000","NULL","NULL","OVER_LIMIT","ONLY_YOY","108.500000","OVER_LIMIT","0.258732","108.220000","2024-09","90.184683","130.752000","156.960000","156.960000","0.257232","1.000000","NORMAL","0.000000","116.940000","2025-08","95.681935","130.752000","128.382968","130.752000","NULL","1.018453","NORMAL","0.000000","3922.560000","OVER_LIMIT","NORMAL","NORMAL","MATCH","0.001268","MATCH","0.000000","MATCH","0.000000","一致"
"巨腾药业","ZDBZD-JS-2020-014387","321200","2025-10","2847.466622","2024.550000","31","NULL","NULL","NULL","NORMAL","NONE","91.850000","NORMAL","0.000000","108.590000","2024-10","90.495467","128.032000","156.960000","156.960000","NULL","1.000000","NORMAL","0.000000","130.200000","2025-09","108.500000","128.032000","130.752000","130.752000","NULL","1.000000","NORMAL","0.000000","3968.992000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"巨腾药业","ZDBZD-JS-2020-014387","321200","2025-11","2676.460000","1924.370000","30","NULL","NULL","NULL","NORMAL","NONE","89.220000","NORMAL","0.000000","110.490000","2024-11","92.077667","130.752000","154.339200","156.960000","NULL","1.000000","NORMAL","0.000000","112.570000","2025-10","91.853762","130.752000","128.032000","130.752000","NULL","1.021245","NORMAL","0.000000","3922.560000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"巨腾药业","ZDBZD-JS-2020-014387","321200","2025-12","2777.590000","1999.060000","31","NULL","NULL","NULL","NORMAL","NONE","89.600000","NORMAL","0.000000","109.730000","2024-12","91.441290","127.379613","151.887484","156.960000","NULL","1.000000","NORMAL","0.000000","107.060000","2025-11","89.215333","127.379613","130.752000","130.752000","NULL","1.000000","NORMAL","0.000000","3948.768000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"巨腾药业","ZDBZD-JS-2020-014387","321200","2026-01","2714.024460","1878.640000","31","NULL","NULL","NULL","NORMAL","NONE","87.550000","NORMAL","0.000000","104.450000","2025-01","87.045806","127.195200","130.752000","130.752000","NULL","1.000000","NORMAL","0.000000","107.520000","2025-12","89.599677","127.195200","127.379613","130.752000","NULL","1.000000","NORMAL","0.000000","3943.051200","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
