报账点编码,报账点名称,报账点状态,地市,区县,年份,月份,月总标杆,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ZDBZD-JS-2018-1022442,泰州马甸西义资源点,启用,泰州,泰兴市,2026,5,4101.92,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32,132.32
ZDBZD-JS-2018-1022442,泰州马甸西义资源点,启用,泰州,泰兴市,2026,6,4217.925,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,140.5975,,
ZDBZD-JS-2018-1022442,泰州马甸西义资源点,启用,泰州,泰兴市,2026,7,4573.7648,148.488,148.488,148.488,134.28,134.28,148.488,148.488,148.488,148.488,148.488,148.488,148.488,148.488,148.488,148.488,148.488,148.488,,148.488,148.488,148.488,148.488,148.488,148.488,148.488,148.488,148.488,148.488,148.488,148.488,148.488
ZDBZD-JS-2019-014558,江神化工铁塔资源点,启用,泰州,泰兴市,2026,1,7020.7312,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,233.832,224.52,224.52,224.52,146.76,146.76,224.52,224.52,
ZDBZD-JS-2019-014558,江神化工铁塔资源点,启用,泰州,泰兴市,2026,2,6467.04,230.58,230.58,230.58,230.58,230.58,230.58,230.58,230.58,230.58,230.58,231.18,231.18,231.18,231.18,231.18,231.18,231.18,231.18,231.18,231.18,231.18,231.18,231.18,231.18,231.18,231.18,231.18,231.18,,,
ZDBZD-JS-2019-014558,江神化工铁塔资源点,启用,泰州,泰兴市,2026,3,7209.36,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56,232.56
ZDBZD-JS-2019-014558,江神化工铁塔资源点,启用,泰州,泰兴市,2026,4,7039.8,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,234.66,
ZDBZD-JS-2019-014558,江神化工铁塔资源点,启用,泰州,泰兴市,2026,5,7347,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
ZDBZD-JS-2019-014558,江神化工铁塔资源点,启用,泰州,泰兴市,2026,6,7456.5,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,248.55,,
ZDBZD-JS-2019-014558,江神化工铁塔资源点,启用,泰州,泰兴市,2026,7,8040.408,259.56,259.56,259.56,256.68,256.68,259.56,259.56,259.56,259.56,259.56,259.56,259.56,259.56,259.56,259.56,259.56,259.56,,259.56,259.56,259.56,259.56,259.56,259.56,259.56,259.56,259.56,259.56,259.56,259.56,259.56
ZDBZD-JS-2019-023229,泰州乌巾走廊资源点,启用,泰州,兴化市,2026,1,3154.4732,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.35,102.278,102.278,102.278,93.638,93.638,102.278,102.278,
ZDBZD-JS-2019-023229,泰州乌巾走廊资源点,启用,泰州,兴化市,2026,2,2986.684,106.621,106.621,106.621,106.621,106.621,106.621,106.621,106.621,106.621,106.621,106.693,106.693,106.693,106.693,106.693,106.693,106.693,106.693,106.693,106.693,106.693,106.693,106.693,106.693,106.693,106.693,106.693,106.693,,,
ZDBZD-JS-2019-023229,泰州乌巾走廊资源点,启用,泰州,兴化市,2026,3,3338.142,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682,107.682
ZDBZD-JS-2019-023229,泰州乌巾走廊资源点,启用,泰州,兴化市,2026,4,3275.61,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,109.187,
